Index,Name,Context,Portrait,NextIndex,EventName,ChoiceA_Text,ChoiceA_Next,ChoiceB_Text,ChoiceB_Next,ChoiceC_Text,ChoiceC_Next
0,교섭관,가격은 나중에 이야기하죠. $우선 이 { } 부터 줘요.,Human1_Portrait,-1,,,,,,,
1,농부,이 { }... 원가 대비 품질은 어떤가요? $하나 주문할게요.,Human0_Portrait,-1,,,,,,,
2,기사단장,"긴 회의를 끝냈으니, 잘 나가는 칵테일로 부탁하오.",Human2_Portrait,-1,,,,,,,
3,계약중개인,계약서 쓰기 전에 입 좀 적셔야지. $진한 걸로. { } 하나.,Human1_Portrait,-1,,,,,,,
4,무역감시관,"품질 검사도 겸해서 한 잔 받지. ${ } 이거, 독한 건가?",Human2_Portrait,-1,,,,,,,
5,일반,{ } 하나 부탁드려요.,Human0_Portrait,-1,,,,,,,
6,교섭관,성공적인 거래를 위하여. $제일 비싼 { } 하나 주세요.,,-1,,,,,,,
7,교섭관,협상을 위해서 물품을 확인해야죠. { }주세요.,,-1,,,,,,,
8,교섭관,말이 안 통하는 작자들이군. $머리 식히게 시원한 { } 줘요.,,-1,,,,,,,
9,교섭관,{ } 하나 부탁드려요. 앞으로의 거래 잘 부탁드려요.,,-1,,,,,,,
10,농부,"올해 농사는 대풍년이야! $기분이다, { } 한 잔 주게!",,-1,,,,,,,
11,농부,하루 종일 밭을 갈았더니 온몸이 쑤셔. $독한 { } 하나 줘요.,,-1,,,,,,,
12,농부,요즘 사람들은 이런 걸 마시나? $나도 그 { } 한번 줘봐요.,,-1,,,,,,,
13,농부,비가 너무 안 와서 걱정이구먼. $목이 타는데 { } 있나?,,-1,,,,,,,
14,기사단장,순찰 돌기 전에 잠깐 들렀네. $가볍게 { } 한 잔만 하지.,,-1,,,,,,,
15,기사단장,오늘 훈련은 꽤 고됐어. ${ }... 그걸로 피로를 씻어야겠군.,,-1,,,,,,,
16,기사단장,기사들을 위하여! $건배 제의에 어울리는 { } 주게.,,-1,,,,,,,
17,기사단장,전장의 긴장감은 술로 달래야지. $독한 { } 부탁하네.,,-1,,,,,,,
18,계약중개인,수수료 챙기기 참 힘들다니까. $달달한 { } 있어요?,,-1,,,,,,,
19,계약중개인,사인만 받으면 끝인데 말이야. $불안하군... { } 줘요.,,-1,,,,,,,
20,계약중개인,이 계약 건은 대박이야. $축배를 들어야겠어. { } 한잔이요!,,-1,,,,,,,
21,계약중개인,서류 검토하느라 눈이 빠지겠어. $정신 번쩍 들게 { } 한 잔.,,-1,,,,,,,
22,무역감시관,"밀수품 단속 중입니다. $흠, 당신이 만들고 있는 그 { }, 검사하겠습니다.",,-1,,,,,,,
23,무역감시관,오늘따라 감시할 게 많군요. ${ } 한 잔 마시고 다시 시작하겠습니다.,,-1,,,,,,,
24,무역감시관,이 가게 주류 반입 목록 좀 봅시다. $...그 전에 { } 맛 좀 보고.,,-1,,,,,,,
25,무역감시관,규정 위반은 없겠지? $감시관의 눈을 속일 순 없어. { } 줘보시오.,,-1,,,,,,,
26,일반,퇴근후에는 술 한잔이지요. $늘 먹던 { } 부탁해요.,,-1,,,,,,,
27,일반,소문 듣고 왔어요. $여기가 { } 맛집이라면서요?,,-1,,,,,,,
28,일반,오늘따라 우울하네요. $위로가 될 만한 { } 있을까요?,,-1,,,,,,,
29,일반,친구들이랑 내기에서 졌어요. $벌칙주는 { } (으)로 주세요.,,-1,,,,,,,
