Index,Name,Context,Portrait,NextIndex,EventName,ChoiceA_Text,ChoiceA_Next,ChoiceB_Text,ChoiceB_Next,ChoiceC_Text,ChoiceC_Next
0,혈맹 장군,오랜 전통에 맞는 깊은 맛을 보여줘라. ${ } 이지.,Vampire0_Portrait,-1,,,,,,,
1,순혈 집행관,가벼운 취향은 사양한다. ${ } 한 잔으로.,Vampire1_Portrait,-1,,,,,,,
2,가문 감시자,네 실력을 보기 위해 주문하지. $완벽한 { } 으로.,Vampire1_Portrait,-1,,,,,,,
3,전통 심판자,형식과 격을 갖춘 { } 하나면 좋겠군.,Vampire0_Portrait,-1,,,,,,,
4,고문헌 수호자,고전에 기록된 맛과 비슷한 음료가 있나? ${ } 하나 주게.,Vampire2_Portrait,-1,,,,,,,
5,일반,{ } 하나 줘보게.,Vampire2_Portrait,-1,,,,,,,
6,혈맹 장군,나를 실망시키지 마라. $장군에게 걸맞은 { } (을)를 대령해.,,-1,,,,,,,
7,혈맹 장군,전장에 나가기 전이다. $정신이 번쩍 들게 { } 가져와.,,-1,,,,,,,
8,혈맹 장군,동맹의 결속은 피보다 진하지. ${ } 한 잔으로 축배를.,,-1,,,,,,,
9,혈맹 장군,승리의 맛은 달콤하지. $하지만 이 { } 만큼은 아닐 거야.,,-1,,,,,,,
10,순혈 집행관,천박한 섞인 피들과는 달라. $고귀한 나를 위한 { } 가져와.,,-1,,,,,,,
11,순혈 집행관,"내 시간은 영원하지만, 기다림은 싫다. $어서 { } 내와.",,-1,,,,,,,
12,순혈 집행관,피의 순수성을 위하여. $붉은 빛이 도는 { } 한 잔.,,-1,,,,,,,
13,순혈 집행관,{ }한 잔 만들어주게. $세상에서 가장 아름다운 피로.,,-1,,,,,,,
14,가문 감시자,가문의 눈이 지켜보고 있다. ${ } 만드는 솜씨를 보지.,,-1,,,,,,,
15,가문 감시자,이번 보고서에 뭐라고 적힐지 궁금한가? ${ } 맛에 달렸어.,,-1,,,,,,,
16,가문 감시자,고위층분들께 올리기 전에 기미를 해야겠군. ${ } 가져와봐.,,-1,,,,,,,
17,가문 감시자,"흠, 재료 관리 상태가... $일단 { } 한 잔 마셔보고 판단하지.",,-1,,,,,,,
18,전통 심판자,전통을 무시하는 건 용납 못 해. $제대로 된 { } (을)를 보여라.,,-1,,,,,,,
19,전통 심판자,예법이 엉망이군! ${ } (을)를 맛에 따라 심판해주지.,,-1,,,,,,,
20,전통 심판자,격식과 품위. $그게 바로 이 { } 한 잔에 담겨야 해.,,-1,,,,,,,
21,전통 심판자,수백 년 전 연회에서는 마셨던 그 술..$그때 마셨던 { } 맛이 그립군.,,-1,,,,,,,
22,고문헌 수호자,먼지 쌓인 책들만 보다 보니 목이 칼칼해. $시원한 { } 주게.,,-1,,,,,,,
23,고문헌 수호자,"지식의 갈증은 책으로, $육체의 갈증은 { } (으)로 채워야지.",,-1,,,,,,,
24,고문헌 수호자,고대 문헌 923페이지에 묘사된 맛이군. $이 { } 말이야.,,-1,,,,,,,
25,고문헌 수호자,"역사를 마시는 기분을 느끼고 싶군. ${ }, 만들어주게.",,-1,,,,,,,
26,일반,해가 뜨기 전까지 즐겨야 해. $독한 { } 한 잔 줘.,,-1,,,,,,,
27,일반,갈증이 심하네. $피처럼 붉은 { } 있어요?,,-1,,,,,,,
28,일반,오늘 밤은 달이 참 붉군요. $분위기 있게 { } 부탁해요.,,-1,,,,,,,
29,일반,이 근처에서 소문이 자자하던데. $그 유명한 { } 맛 좀 봅시다.,,-1,,,,,,,
